<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SGN,20170608,182.59,187.53,182.59,187.52,300,185.00,190.00,185.00,190.00,0,300,0
SGN,20170607,197.20,197.20,197.20,197.20,100,199.80,199.80,199.80,199.80,0,0,0
SGN,20170605,173.71,173.71,173.71,173.71,1000,176.00,176.00,176.00,176.00,0,0,0
SGN,20170602,175.09,175.09,175.09,175.09,1000,177.40,177.40,177.40,177.40,40,1000,0
SGN,20170531,172.72,172.72,172.72,172.72,100,175.00,175.00,175.00,175.00,0,0,0
SGN,20170530,174.70,174.70,174.70,174.69,100,177.00,177.00,177.00,177.00,0,100,0
SGN,20170529,172.33,172.33,172.33,172.33,9,174.60,174.60,174.60,174.60,260,0,0
SGN,20170524,172.23,172.62,172.23,172.33,2558,174.50,174.90,174.50,174.60,0,1900,0
SGN,20170522,169.76,169.76,169.76,169.76,140,172.00,172.00,172.00,172.00,2,0,0
SGN,20170519,172.22,172.22,171.73,171.73,1150,174.50,174.50,174.00,174.00,0,0,0
SGN,20170518,167.79,167.89,167.79,167.88,2480,170.00,170.10,170.00,170.10,0,0,0
SGN,20170517,167.89,167.89,167.79,167.79,600,170.10,170.10,170.00,170.00,0,0,0
SGN,20170516,172.22,172.22,172.22,172.23,7200,174.50,174.50,174.50,174.50,0,7000,0
SGN,20170515,171.73,171.73,171.73,171.73,40,174.00,174.00,174.00,174.00,0,0,0
SGN,20170510,171.73,171.73,171.73,171.73,300,174.00,174.00,174.00,174.00,0,0,0
SGN,20170508,176.57,176.57,176.57,176.57,200,178.90,178.90,178.90,178.90,0,0,0
SGN,20170505,172.72,172.72,172.72,172.72,200,175.00,175.00,175.00,175.00,0,0,0
SGN,20170504,171.24,171.73,171.24,171.73,2300,173.50,174.00,173.50,174.00,0,600,0
SGN,20170503,169.75,169.75,169.75,169.76,3100,172.00,172.00,172.00,172.00,0,0,0
