<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TBD,20180514,72.78,72.78,66.68,66.88,39810,74.00,74.00,67.80,68.00,21,0,0
TBD,20180511,60.19,76.72,60.09,69.83,77365,61.20,78.00,61.10,71.00,0,3200,50
TBD,20180510,71.21,71.21,68.85,69.34,4380,72.40,72.40,70.00,70.50,0,2000,0
TBD,20180509,64.43,74.26,64.43,72.78,12700,65.50,75.50,65.50,74.00,0,0,0
TBD,20180508,69.83,70.32,64.23,70.33,21621,71.00,71.50,65.30,71.50,0,6000,0
TBD,20180507,69.84,69.84,63.05,69.34,7015,71.00,71.00,64.10,70.50,0,0,0
TBD,20180504,57.44,70.32,57.34,70.33,21705,58.40,71.50,58.30,71.50,1000000,10000,0
TBD,20180503,56.16,63.93,56.16,63.83,15700,57.10,65.00,57.10,64.90,0,10000,0
TBD,20180502,60.00,60.00,54.89,60.00,16756,61.00,61.00,55.80,61.00,1495,0,0
TBD,20180427,57.34,59.99,57.34,60.00,300,58.30,61.00,58.30,61.00,11978,0,0
TBD,20180426,54.59,60.98,54.29,59.01,13505,55.50,62.00,55.20,60.00,225900,0,0
TBD,20180424,67.67,67.67,59.02,60.98,9581,68.80,68.80,60.00,62.00,1226859,0,0
TBD,20180423,60.19,60.19,59.99,60.00,1340,61.20,61.20,61.00,61.00,0,0,0
TBD,20180420,58.23,63.24,58.23,63.24,5193,59.20,64.30,59.20,64.30,1092442,0,0
TBD,20180419,63.84,63.93,59.21,60.98,17673,64.90,65.00,60.20,62.00,0,0,0
TBD,20180418,56.06,63.93,55.38,60.00,44936,57.00,65.00,56.30,61.00,2786,50,0
TBD,20180417,56.06,63.93,55.96,61.08,38370,57.00,65.00,56.90,62.10,2170,60,0
TBD,20180416,72.39,72.39,54.59,62.75,72209,73.60,73.60,55.50,63.80,10400,0,400
TBD,20180413,62.94,62.94,62.94,62.95,173,64.00,64.00,64.00,64.00,28042,0,0
TBD,20180412,66.78,66.78,49.57,66.78,1178530,67.90,67.90,50.40,67.90,1009944,2000,0
TBD,20180411,60.98,62.06,57.63,62.06,285439,62.00,63.10,58.60,63.10,0,1000,0
TBD,20180410,67.18,85.57,66.79,69.83,257882,68.30,87.00,67.90,71.00,150487,400,200
TBD,20180409,102.10,102.10,75.54,75.64,577984,103.80,103.80,76.80,76.90,581401,114091,67200
